"","year","FSI_npn","FSI_sm","FSI_obs"
"year",1,-0.0818210077753107,-0.203191424958545,-0.469458776603963
"FSI_npn",-0.0818210077753107,1,0.866699720170396,0.699774967381586
"FSI_sm",-0.203191424958545,0.866699720170396,1,0.767670213925096
"FSI_obs",-0.469458776603963,0.699774967381586,0.767670213925096,1
