Station,Latitude,Longitude,hf.gdd,region
Chattanooga,35.0311,-85.2014,11,south
Nashville,36.1189,-86.689,16,south
Louisville,38.1811,-85.7391,12,south
Cincinnati,39.0444,-84.67,10,midwest
Fort.Wayne,40.9705,-85.2063,2,midwest
Flint,42.967,-83.7494,1,midwest
Houghton,44.3591,-84.6738,0,midwest
Pellston,45.56,-84.7927,2,midwest
Sault.Ste.Marie,46.4794,-84.3572,0,midwest
"Medford, OR",42.3811,-122.8722,8,west
"Dallesport, WA",45.6194,-121.1661,2,west
Yakima,46.5683,-120.5428,3,west
Wenatchee Panghorn ,47.3977,-120.2013,1,west
"Spokane, WA",47.6216,-117.528,0,west
"Blue River, Canada",52.133,-119.2833,0,canada
"Hay River, Canada",60.833,-115.7833,0,canada
"Anthony, KS",37.155,-98.0282,0,midwest
"Hastings, NE",40.58333,-98.35,0,midwest
"West Point, NE",41.845,-96.7141,0,midwest
"Yankton, SD",42.88333,-97.35,16,midwest
"Brookings, SD",44.3252,-96.7686,0,midwest
"Aberdeen, SD",45.4433,-98.413,0,midwest
"Grand Forks, ND",47.9333,-97.08333,5,midwest
Pembina,48.9711,-97.2416,1,midwest
"Kempten, GM",47.7242,10.3364,6,europe
"Augsburg, GM",48.4264,10.9431,2,europe
"Bamberg, GM",49.8753,10.9217,6,europe
"Jena, GM",50.9267,11.5842,3,europe
"Hannover, GM",52.4656,9.6794,4,europe
"Bremen, GM",53.0464,8.7992,5,europe
"Hamburg, GM",53.635,9.99,2,europe
"Schleswig, GM",54.5289,9.5492,0,europe
"Flyvestation, DA",57.093,9.849,0,europe
"Oslo, NO",59.9428,10.7206,0,europe
"Daggett, CA",35.8536,-116.7858,1,west
"Paso Robles, CA",35.67,-120.6283,3,west
