"Site_ID","species","Individual_ID","Year","Latitude","Longitude","Budburst","Leaves","Risk","mean","stand_dev","mean.leaf","stand_dev.leaf"
2,"Acer_saccharum",7,2016,43.08535,-70.69133,121,135,14,112.454545454545,15.2982470772427,130.424242424242,22.3290501407131
2,"Acer_rubrum",9,2016,43.08535,-70.69133,121,141,20,97.7402597402597,32.172807493859,118.519480519481,31.9426337730339
1109,"Prunus_virginiana",1386,2016,44.750778,-108.767281,73,83,10,98.5,17.0850812113961,107.166666666667,12.4806516923864
443,"Juglans_nigra",1978,2016,42.304653,-83.70118,124,130,6,115.75,6.23832242407097,122.75,5.85234995535981
2,"Quercus_rubra",2104,2016,43.08535,-70.69133,121,131,10,111.375,12.3203215291097,125.84375,12.3291141795189
2,"Hamamelis_virginiana",2112,2016,43.08535,-70.69133,121,127,6,110.947368421053,10.1240839597166,121.894736842105,11.3866136651875
1668,"Fagus_grandifolia",3210,2016,40.866283,-73.875717,91,112,21,99.25,19.928677174189,116.958333333333,14.5407348856408
1668,"Quercus_velutina",3222,2016,40.866283,-73.875717,108,119,11,109.5,13.0805198673447,119.166666666667,8.42417157153549
1668,"Acer_rubrum",3227,2016,40.866283,-73.875717,91,112,21,97.7402597402597,32.172807493859,118.519480519481,31.9426337730339
1668,"Acer_rubrum",3228,2016,40.866283,-73.875717,91,112,21,97.7402597402597,32.172807493859,118.519480519481,31.9426337730339
1668,"Acer_rubrum",3234,2016,40.866283,-73.875717,77,112,35,97.7402597402597,32.172807493859,118.519480519481,31.9426337730339
1915,"Acer_saccharum",3990,2016,41.78344,-73.732552,104,130,26,112.454545454545,15.2982470772427,130.424242424242,22.3290501407131
1915,"Quercus_alba",3992,2016,41.78344,-73.732552,118,139,21,112.5625,13.8369975066848,133.375,13.5345237571676
1668,"Quercus_velutina",4266,2016,40.866283,-73.875717,112,119,7,109.5,13.0805198673447,119.166666666667,8.42417157153549
1668,"Fraxinus_americana",4271,2016,40.866283,-73.875717,112,119,7,114.25,11.0937562877246,123.375,6.65340943748821
2120,"Carya_glabra",4311,2016,40.863445,-73.876656,79,112,33,97.8571428571429,14.3036151581831,113.5,10.3459393743856
2120,"Prunus_serotina",4314,2016,40.863445,-73.876656,79,92,13,108.393939393939,17.9215990391821,121.363636363636,16.4826010193669
2120,"Prunus_serotina",4316,2016,40.863445,-73.876656,79,92,13,108.393939393939,17.9215990391821,121.363636363636,16.4826010193669
2120,"Quercus_rubra",4318,2016,40.863445,-73.876656,84,106,22,111.375,12.3203215291097,125.84375,12.3291141795189
