"species","CS0","WL1","CS0_se","WL1_se","diff","diff.sd","code"
"ACEPEN",42.0909090909091,21,1.94780373599072,0.769800358919501,21.0909090909091,2.09440492420448,"A. pensylvanicum"
"ACERUB",28.9,14.1111111111111,1.97656017450944,0.758694460208204,14.7888888888889,2.11716966901744,"A.rubrum"
"ACESAC",16.1428571428571,5.83333333333333,2.89772762640408,0.673575314054563,10.3095238095238,2.97498388239821,"A.saccharum"
"BETALL",21.5833333333333,14.8333333333333,2.17529362544516,2.15751759086274,6.75,3.06378597682418,"B.alleghaniensis"
"BETPAP",24.1666666666667,9.18181818181818,2.83169887497215,1.9287825227853,14.9848484848485,3.42618162663927,"B.papyrifera"
"FAGGRA",16,3.5,2.14476105895272,0.869581991249918,12.5,2.31434069218561,"F.grandifolia"
"ILEMUC",19,4.54545454545455,1.97714210644832,0.355334527259351,14.4545454545455,2.00881894041089,"I. mucronata"
"POPGRA",28.3333333333333,9.5,5.44543641756818,0.580017028272808,18.8333333333333,5.47623936026031,"P.grandidentata"
"QUERUB",11,3.81818181818182,1.50462250710565,0.861640436855329,7.18181818181818,1.73387229383053,"Q.rubra"
