"sp","var","rndm","2.5%","95%","Estimate","legend"
"0","force",1,-13.1086294697737,-6.91579355566873,-9.99527361707087,"Overall Effects"
"0","photo",1,-10.6238827117875,-6.8067034885814,-8.69992953866883,"Overall Effects"
"0","chill1",1,-4.26033651123009,-0.138257694263582,-2.1795906825378,"Overall Effects"
"0","chill2",1,-5.38048044842648,-0.924314344085492,-3.1350591318975,"Overall Effects"
"0","force:photo",1,2.48748995940126,6.85421998642557,4.68583305231319,"Overall Effects"
"0","force:chill1",1,-1.29705268336284,3.77580921269119,1.22859071534463,"Overall Effects"
"0","force:chill2",1,-0.489037073074653,4.95918237183966,2.20840949095814,"Overall Effects"
"0","photo:chill1",1,-0.554435721087503,4.20915973495413,1.82925192693185,"Overall Effects"
"0","photo:chill2",1,1.2046088961251,6.52246903734984,3.86329196661469,"Overall Effects"
"1","force",2,-18.5889529019134,-11.0304619170308,-14.6441890386088,"1"
"1","photo",2,-11.0502861386033,-7.60748281300476,-9.01117847520995,"1"
"1","chill1",2,-3.84714651558559,0.18035632881615,-2.00733728945602,"1"
"1","chill2",2,-5.94313426419134,-1.91809466736972,-3.52144398692582,"1"
"1","force:photo",2,1.84264739806597,6.53944287440484,4.43027150835332,"1"
"1","force:chill1",2,-1.09383330666117,3.92016680566776,1.31100997216838,"1"
"1","force:chill2",2,-3.26073750633806,3.17342814940522,0.93820840917799,"1"
"1","photo:chill1",2,0.0362239003243399,4.7615708389494,2.08783030669517,"1"
"1","photo:chill2",2,-0.50436797956187,4.98193918251248,3.00139826836715,"1"
"2","force",2,-15.3313498554019,-7.75777891449478,-11.3393351381208,"2"
"2","photo",2,-9.88096568384324,-6.46638697924705,-8.46457553381151,"2"
"2","chill1",2,-3.92754844030714,0.08821799380341,-2.06868829794793,"2"
"2","chill2",2,-4.7028227497805,-0.8950979143446,-2.94360085634182,"2"
"2","force:photo",2,1.9080138132856,6.6130049790302,4.48530963923515,"2"
"2","force:chill1",2,-0.22877861988528,5.20898058862182,1.85023547185175,"2"
"2","force:chill2",2,0.50969988606881,6.81114676893249,3.03305531228464,"2"
"2","photo:chill1",2,-0.16526395041621,4.75649151637515,2.07266223558999,"2"
"2","photo:chill2",2,0.42663251014769,5.96207123446813,3.50722329559053,"2"
