Station,Elevation,Latitude,Longitude,False Springs
"Kempten, GM",705,47.7242,10.3364,8
"Augsburg, GM",461,48.4264,10.9431,8
"Bamberg, GM",240,49.8753,10.9217,7
"Jena, GM",155,50.9267,11.5842,4
"Hannover, GM",55,52.4656,9.6794,6
"Bremen, GM",4,53.0464,8.7992,5
"Hamburg, GM",11,53.635,9.99,4
"Schleswig, GM",43,54.5289,9.5492,0
"Flyvestation, DA",3,57.093,9.849,0
"Oslo, NO",94,59.9428,10.7206,0
