"id","species","site","lday","bday","chilling","warm","photo","treatcode","risk"
"QUERUB16_HF_09","QUERUB","HF",52,30,2,15,8,"CS2",22
"QUERUB16_HF_10","QUERUB","HF",54,40,0,15,12,"CL0",14
"QUERUB16_HF_11","QUERUB","HF",36,27,2,20,12,"WL2",9
"QUERUB16_HF_12","QUERUB","HF",56,40,0,20,8,"WS0",16
"QUERUB17_HF_02","QUERUB","HF",75,68,0,15,8,"CS0",7
"QUERUB17_HF_03","QUERUB","HF",31,31,1,20,12,"WL1",0
"QUERUB17_HF_04","QUERUB","HF",44,30,2,15,8,"CS2",14
"QUERUB17_HF_05","QUERUB","HF",36,27,2,20,12,"WL2",9
"QUERUB17_HF_06","QUERUB","HF",42,42,0,20,12,"WL0",0
"QUERUB17_HF_07","QUERUB","HF",61,48,0,15,12,"CL0",13
"QUERUB17_HF_08","QUERUB","HF",43,40,0,20,8,"WS0",3
"QUERUB17_HF_09","QUERUB","HF",37,23,2,15,12,"CL2",14
"QUERUB17_HF_10","QUERUB","HF",41,31,2,20,8,"WS2",10
"QUERUB17_HF_11","QUERUB","HF",44,30,1,15,8,"CS1",14
"QUERUB17_HF_12","QUERUB","HF",37,22,1,15,12,"CL1",15
"QUERUB20_HF_01","QUERUB","HF",41,31,2,20,8,"WS2",10
"QUERUB20_HF_02","QUERUB","HF",31,24,1,20,12,"WL1",7
"QUERUB20_HF_03","QUERUB","HF",36,27,2,20,12,"WL2",9
"QUERUB20_HF_04","QUERUB","HF",NA,30,1,15,8,"CS1",NA
"QUERUB20_HF_05","QUERUB","HF",43,37,2,15,12,"CL2",6
"QUERUB20_HF_06","QUERUB","HF",30,30,1,15,12,"CL1",0
"QUERUB20_HF_07","QUERUB","HF",82,68,0,15,8,"CS0",14
"QUERUB20_HF_08","QUERUB","HF",NA,44,2,15,8,"CS2",NA
"QUERUB20_HF_09","QUERUB","HF",39,39,0,20,12,"WL0",0
"QUERUB20_HF_10","QUERUB","HF",68,56,0,20,8,"WS0",12
"QUERUB20_HF_11","QUERUB","HF",54,48,0,15,12,"CL0",6
"QUERUB21_HF_01","QUERUB","HF",NA,NA,0,15,12,"CL0",NA
"QUERUB21_HF_02","QUERUB","HF",50,37,2,15,12,"CL2",13
"QUERUB21_HF_03","QUERUB","HF",75,53,0,15,8,"CS0",22
"QUERUB21_HF_05","QUERUB","HF",56,43,0,20,8,"WS0",13
"QUERUB21_HF_06","QUERUB","HF",31,24,1,20,12,"WL1",7
"QUERUB21_HF_07","QUERUB","HF",39,33,0,20,12,"WL0",6
"QUERUB21_HF_08","QUERUB","HF",41,41,2,20,8,"WS2",0
"QUERUB21_HF_09","QUERUB","HF",52,44,2,15,8,"CS2",8
"QUERUB21_HF_10","QUERUB","HF",52,44,1,15,8,"CS1",8
"QUERUB21_HF_11","QUERUB","HF",36,27,2,20,12,"WL2",9
"QUERUB21_HF_12","QUERUB","HF",43,30,1,15,12,"CL1",13
"QUERUB23_HF_01","QUERUB","HF",36,27,2,20,12,"WL2",9
"QUERUB23_HF_02","QUERUB","HF",41,41,2,20,8,"WS2",0
"QUERUB23_HF_03","QUERUB","HF",NA,44,2,15,8,"CS2",NA
"QUERUB23_HF_04","QUERUB","HF",31,31,1,20,12,"WL1",0
"QUERUB23_HF_05","QUERUB","HF",61,54,0,15,12,"CL0",7
"QUERUB23_HF_06","QUERUB","HF",56,56,0,20,8,"WS0",0
"QUERUB23_HF_07","QUERUB","HF",39,33,0,20,12,"WL0",6
"QUERUB23_HF_08","QUERUB","HF",82,68,0,15,8,"CS0",14
"QUERUB23_HF_09","QUERUB","HF",43,30,1,15,12,"CL1",13
"QUERUB23_HF_10","QUERUB","HF",50,37,2,15,12,"CL2",13
"QUERUB23_HF_12","QUERUB","HF",52,44,1,15,8,"CS1",8
"ACEPEN01_HF_09","ACEPEN","HF",31,16,1,20,8,"WS1",15
"ACEPEN02_HF_08","ACEPEN","HF",56,16,1,20,8,"WS1",40
"ACEPEN03_HF_07","ACEPEN","HF",24,8,1,20,8,"WS1",16
"ACEPEN04_HF_04","ACEPEN","HF",31,16,1,20,8,"WS1",15
"ACEPEN04_SH_10","ACEPEN","SH",50,24,1,20,8,"WS1",26
"ACEPEN06_SH_12","ACEPEN","SH",31,16,1,20,8,"WS1",15
"ACEPEN07_SH_06","ACEPEN","SH",38,16,1,20,8,"WS1",22
"ACEPEN08_SH_08","ACEPEN","SH",50,24,1,20,8,"WS1",26
"ACEPEN09_SH_09","ACEPEN","SH",50,16,1,20,8,"WS1",34
"ACEPEN11_HF_10","ACEPEN","HF",38,24,1,20,8,"WS1",14
"ACEPEN11_SH_06","ACEPEN","SH",38,16,1,20,8,"WS1",22
"ACEPEN12_HF_09","ACEPEN","HF",38,24,1,20,8,"WS1",14
"ACERUB05_SH_12","ACERUB","SH",50,24,1,20,8,"WS1",26
"ACERUB06_SH_12","ACERUB","SH",56,16,1,20,8,"WS1",40
"ACERUB07_SH_05","ACERUB","SH",50,16,1,20,8,"WS1",34
"ACERUB08_SH_10","ACERUB","SH",24,16,1,20,8,"WS1",8
"ACERUB09_SH_04","ACERUB","SH",31,24,1,20,8,"WS1",7
"ACERUB10_HF_03","ACERUB","HF",56,50,1,20,8,"WS1",6
"ACERUB10_SH_12","ACERUB","SH",31,16,1,20,8,"WS1",15
"ACERUB11_HF_10","ACERUB","HF",24,16,1,20,8,"WS1",8
"ACERUB13_HF_05","ACERUB","HF",38,16,1,20,8,"WS1",22
"ACERUB14_HF_02","ACERUB","HF",50,24,1,20,8,"WS1",26
"ACERUB99_HF_03","ACERUB","HF",38,24,1,20,8,"WS1",14
"ACESAC02_HF_04","ACESAC","HF",38,38,1,20,8,"WS1",0
"ACESAC02_SH_12","ACESAC","SH",31,31,1,20,8,"WS1",0
"ACESAC03_SH_03","ACESAC","SH",NA,24,1,20,8,"WS1",NA
"ACESAC05_HF_08","ACESAC","HF",NA,50,1,20,8,"WS1",NA
"ACESAC06_HF_11","ACESAC","HF",NA,NA,1,20,8,"WS1",NA
"ACESAC07_HF_03","ACESAC","HF",NA,50,1,20,8,"WS1",NA
"ACESAC07_SH_06","ACESAC","SH",NA,NA,1,20,8,"WS1",NA
"ACESAC09_SH_08","ACESAC","SH",38,31,1,20,8,"WS1",7
"ACESAC10_HF_12","ACESAC","HF",NA,NA,1,20,8,"WS1",NA
"ACESAC10_SH_12","ACESAC","SH",38,31,1,20,8,"WS1",7
"ACESAC99_HF_07","ACESAC","HF",38,24,1,20,8,"WS1",14
"ACESAC99_SH_11","ACESAC","SH",50,38,1,20,8,"WS1",12
"BETALL01_SH_08","BETALL","SH",50,24,1,20,8,"WS1",26
"BETALL02_SH_03","BETALL","SH",38,24,1,20,8,"WS1",14
"BETALL03_SH_01","BETALL","SH",24,16,1,20,8,"WS1",8
"BETALL08_SH_12","BETALL","SH",24,16,1,20,8,"WS1",8
"BETALL09_SH_10","BETALL","SH",31,16,1,20,8,"WS1",15
"BETALL10_HF_07","BETALL","HF",38,24,1,20,8,"WS1",14
"BETALL10_SH_06","BETALL","SH",24,16,1,20,8,"WS1",8
"BETALL16_HF_12","BETALL","HF",24,16,1,20,8,"WS1",8
"BETALL17_HF_09","BETALL","HF",31,24,1,20,8,"WS1",7
"BETALL18_HF_10","BETALL","HF",31,16,1,20,8,"WS1",15
"BETALL19_HF_08","BETALL","HF",31,16,1,20,8,"WS1",15
"BETALL20_HF_08","BETALL","HF",24,16,1,20,8,"WS1",8
"BETPAP04_SH_11","BETPAP","SH",24,16,1,20,8,"WS1",8
"BETPAP06_HF_06","BETPAP","HF",24,16,1,20,8,"WS1",8
"BETPAP06_SH_12","BETPAP","SH",24,16,1,20,8,"WS1",8
"BETPAP07_HF_06","BETPAP","HF",16,16,1,20,8,"WS1",0
"BETPAP07_SH_07","BETPAP","SH",50,16,1,20,8,"WS1",34
"BETPAP08_SH_06","BETPAP","SH",56,16,1,20,8,"WS1",40
"BETPAP09_HF_07","BETPAP","HF",24,16,1,20,8,"WS1",8
"BETPAP09_SH_12","BETPAP","SH",24,16,1,20,8,"WS1",8
"BETPAP10_SH_05","BETPAP","SH",31,16,1,20,8,"WS1",15
"BETPAP13_HF_08","BETPAP","HF",24,16,1,20,8,"WS1",8
"BETPAP14_HF_04","BETPAP","HF",24,16,1,20,8,"WS1",8
"BETPAP15_HF_05","BETPAP","HF",NA,NA,1,20,8,"WS1",NA
"FAGGRA02_SH_05","FAGGRA","SH",56,50,1,20,8,"WS1",6
"FAGGRA03_HF_05","FAGGRA","HF",NA,38,1,20,8,"WS1",NA
"FAGGRA04_SH_01","FAGGRA","SH",NA,24,1,20,8,"WS1",NA
"FAGGRA05_SH_09","FAGGRA","SH",NA,NA,1,20,8,"WS1",NA
"FAGGRA06_SH_08","FAGGRA","SH",NA,56,1,20,8,"WS1",NA
"FAGGRA07_SH_06","FAGGRA","SH",NA,NA,1,20,8,"WS1",NA
"FAGGRA08_SH_02","FAGGRA","SH",50,50,1,20,8,"WS1",0
"FAGGRA09_HF_10","FAGGRA","HF",NA,50,1,20,8,"WS1",NA
"FAGGRA10_HF_05","FAGGRA","HF",56,50,1,20,8,"WS1",6
"FAGGRA11_HF_06","FAGGRA","HF",50,50,1,20,8,"WS1",0
"FAGGRA13_HF_02","FAGGRA","HF",56,38,1,20,8,"WS1",18
"FAGGRA14_HF_12","FAGGRA","HF",NA,50,1,20,8,"WS1",NA
"ILEMUC01_SH_12","ILEMUC","SH",24,16,1,20,8,"WS1",8
"ILEMUC03_HF_12","ILEMUC","HF",24,16,1,20,8,"WS1",8
"ILEMUC03_SH_05","ILEMUC","SH",31,16,1,20,8,"WS1",15
"ILEMUC04_HF_12","ILEMUC","HF",31,16,1,20,8,"WS1",15
"ILEMUC04_SH_12","ILEMUC","SH",24,16,1,20,8,"WS1",8
"ILEMUC05_HF_05","ILEMUC","HF",24,16,1,20,8,"WS1",8
"ILEMUC05_SH_07","ILEMUC","SH",24,16,1,20,8,"WS1",8
"ILEMUC06_HF_01","ILEMUC","HF",31,24,1,20,8,"WS1",7
"ILEMUC06_SH_02","ILEMUC","SH",24,16,1,20,8,"WS1",8
"ILEMUC07_HF_09","ILEMUC","HF",24,16,1,20,8,"WS1",8
"ILEMUC07_SH_03","ILEMUC","SH",24,16,1,20,8,"WS1",8
"ILEMUC08_HF_07","ILEMUC","HF",24,16,1,20,8,"WS1",8
"POPGRA01_SH_10","POPGRA","SH",38,24,1,20,8,"WS1",14
"POPGRA02_HF_10","POPGRA","HF",24,16,1,20,8,"WS1",8
"POPGRA02_SH_02","POPGRA","SH",31,16,1,20,8,"WS1",15
"POPGRA03_HF_12","POPGRA","HF",31,24,1,20,8,"WS1",7
"POPGRA04_SH_09","POPGRA","SH",50,38,1,20,8,"WS1",12
"POPGRA05_HF_09","POPGRA","HF",50,31,1,20,8,"WS1",19
"POPGRA05_SH_06","POPGRA","SH",24,16,1,20,8,"WS1",8
"POPGRA06_HF_02","POPGRA","HF",31,24,1,20,8,"WS1",7
"POPGRA06_SH_05","POPGRA","SH",31,24,1,20,8,"WS1",7
"POPGRA07_HF_05","POPGRA","HF",31,24,1,20,8,"WS1",7
"POPGRA08_SH_02","POPGRA","SH",31,16,1,20,8,"WS1",15
"QUERUB04_SH_05","QUERUB","SH",31,24,1,20,8,"WS1",7
"QUERUB05_SH_03","QUERUB","SH",38,24,1,20,8,"WS1",14
"QUERUB06_SH_11","QUERUB","SH",31,24,1,20,8,"WS1",7
"QUERUB07_SH_09","QUERUB","SH",31,24,1,20,8,"WS1",7
"QUERUB08_SH_09","QUERUB","SH",38,24,1,20,8,"WS1",14
"QUERUB10_SH_09","QUERUB","SH",31,24,1,20,8,"WS1",7
"QUERUB15_HF_06","QUERUB","HF",31,24,1,20,8,"WS1",7
"QUERUB16_HF_02","QUERUB","HF",31,24,1,20,8,"WS1",7
"QUERUB17_HF_01","QUERUB","HF",31,24,1,20,8,"WS1",7
"QUERUB20_HF_12","QUERUB","HF",31,24,1,20,8,"WS1",7
"QUERUB21_HF_04","QUERUB","HF",NA,NA,1,20,8,"WS1",NA
"QUERUB23_HF_11","QUERUB","HF",38,24,1,20,8,"WS1",14
