"","year","FSI_npn","FSI_sm","FSI_obs","FSI_cam"
"year",1,-0.0260172117425985,-0.206212047061072,-0.542924773138801,-0.374027235715522
"FSI_npn",-0.0260172117425985,1,0.949744339699213,0.560438580516202,0.424205873843775
"FSI_sm",-0.206212047061072,0.949744339699213,1,0.574470483307943,0.383945097557346
"FSI_obs",-0.542924773138801,0.560438580516202,0.574470483307943,1,0.953316413714184
"FSI_cam",-0.374027235715522,0.424205873843775,0.383945097557346,0.953316413714184,1
