Year,FSI_obs2.2,FSI_obs1.7,FSI_cam2.2,FSI_cam1.7,frz_1.7,FSI_NPN
2008,-1.88,-1.88,-3,-3,NA,9
2009,-17.53,-17.53,-17,-17,NA,-10
2010,-24.24,-24.24,-24,-24,NA,-10
2011,-14.59,-14.59,-11,-11,NA,-1
2012,-18.24,3.76,-20,2,NA,35
2013,-13.59,-12.59,-10,-9,NA,-1
2014,-24.53,-22.53,-21,-19,114,-3
