ID,Location,Collection Date,Sow Date,Pot Date,Raised Beds,Up-Pot Date,New ID
BETALL13_GR,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,
BETALL13_GR,GH,9-Sep-15,12-Feb-16,25-Mar-16,NA,31-Oct-16,
BETALL15_GR,GH,9-Sep-15,12-Feb-16,28-Apr-16,NA,31-Oct-16,
BETALL15_GR,GH,9-Sep-15,12-Feb-16,28-Apr-16,NA,31-Oct-16,
BETPOP01_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,
BETPOP01_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,
BETPOP01_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,
BETPOP03_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,
BETPOP04_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,
BETPOP04_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,
BETPOP05_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP05_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,
BETPOP05_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,20-Oct-16,
BETPOP05_HF,RB,UNK,8-Jan-15,3-Mar-15,30-Jun-15,24-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP06_GR,GH,10-Sep-15,12-Feb-16,6-Jun-16,NA,31-Oct-16,
BETPOP07_WM,GH,16-Sep-15,24-Mar-16,7-Jun-16,NA,31-Oct-16,
BETPOP08_WM,GH,16-Sep-15,12-Feb-16,18-Jul-16,NA,31-Oct-16,
BETPOP08_WM,GH,16-Sep-15,12-Feb-16,18-Jul-16,NA,31-Oct-16,
BETPOP08_WM,GH,16-Sep-15,12-Feb-16,18-Jul-16,NA,31-Oct-16,
CORCOR05_WM,GH,10-Aug-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
CORCOR06_WM,GH,10-Aug-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
CORCOR06_WM,GH,10-Aug-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN02_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN02_WM,GH,11-Aug-15,16-Apr-16,23-May-16,NA,31-Oct-16,
PRUPEN03_WM,GH,11-Aug-15,14-Apr-16,23-May-16,NA,31-Oct-16,
PRUPEN05_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN05_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,31-Oct-16,
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN08_SH,GH,31-Jul-15,14-Apr-16,23-May-16,NA,31-Oct-16,
PRUPEN11_GR,GH,10-Sep-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN12_SH,GH,8-Sep-15,14-Apr-16,28-Apr-16,NA,24-Oct-16,
PRUPEN12_SH,GH,8-Sep-15,14-Apr-16,28-Apr-16,NA,31-Oct-16,
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS01_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS01_SH,GH,4-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS03_GR,GH,9-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS05_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS05_SH,RB,UNK,24-Nov-14,2-Mar-15,30-Jun-15,24-Oct-16,
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS07_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS09_WM,GH,UNK,3-Dec-15,18-Feb-16,NA,4-Nov-16,
VIBCAS09_WM,GH,UNK,3-Dec-15,18-Feb-16,NA,4-Nov-16,
VIBCAS09_SH,GH,8-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS09_SH,GH,8-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS12_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
VIBCAS12_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,
