SOUID,DATE,TG,Q_TG,TN
135165,19790101,-104,0,-45
135165,19790102,-87,0,-10
135165,19790103,-87,0,6
135165,19790104,-91,0,9
135165,19790105,-106,0,6
135165,19790106,-78,0,0
135165,19790107,-20,0,0
135165,19790108,8,0,-5
135165,19790109,2,0,-7
135165,19790110,-12,0,-10
135165,19790111,-3,0,0
135165,19790112,-4,0,35
135165,19790113,-19,0,5
135165,19790114,-58,0,27
135165,19790115,-49,0,19
135165,19790116,-28,0,5
135165,19790117,-20,0,2
135165,19790118,-13,0,8
135165,19790119,-14,0,31
135165,19790120,-18,0,-3
135165,19790121,-36,0,-43
135165,19790122,-54,0,-24
135165,19790123,-42,0,-13
135165,19790124,-30,0,-53
135165,19790125,-15,0,-63
135165,19790126,-10,0,-64
135165,19790127,-34,0,-22
135165,19790128,-34,0,-32
135165,19790129,-34,0,-25
135165,19790130,-40,0,-26
135165,19790131,-39,0,-60
135165,19790201,5,0,-25
135165,19790202,-7,0,-34
135165,19790203,3,0,-50
135165,19790204,-11,0,-40
135165,19790205,-6,0,-10
135165,19790206,-41,0,-4
135165,19790207,-51,0,-13
135165,19790208,-37,0,0
135165,19790209,-13,0,22
135165,19790210,-118,0,10
135165,19790211,-114,0,10
135165,19790212,-71,0,3
135165,19790213,-51,0,10
135165,19790214,-117,0,7
135165,19790215,-84,0,-25
135165,19790216,-52,0,-25
135165,19790217,-38,0,-20
135165,19790218,-36,0,5
135165,19790219,-27,0,18
135165,19790220,-53,0,18
135165,19790221,-39,0,7
135165,19790222,-40,0,7
135165,19790223,-39,0,11
135165,19790224,-29,0,15
135165,19790225,-25,0,7
135165,19790226,-11,0,-5
135165,19790227,6,0,-7
135165,19790228,3,0,-28
135165,19790301,-9,0,-40
135165,19790302,9,0,-15
135165,19790303,28,0,-16
135165,19790304,25,0,-36
135165,19790305,21,0,-30
135165,19790306,1,0,-20
135165,19790307,17,0,-19
135165,19790308,13,0,-14
135165,19790309,22,0,-10
135165,19790310,19,0,-18
135165,19790311,12,0,-32
135165,19790312,21,0,-32
135165,19790313,17,0,3
135165,19790314,12,0,21
135165,19790315,0,0,32
135165,19790316,-4,0,-20
135165,19790317,-37,0,-9
135165,19790318,-75,0,2
135165,19790319,-68,0,-10
135165,19790320,-27,0,-45
135165,19790321,-4,0,-42
135165,19790322,14,0,0
135165,19790323,23,0,1
135165,19790324,34,0,0
135165,19790325,20,0,-32
135165,19790326,69,0,-2
135165,19790327,59,0,-30
135165,19790328,55,0,-21
135165,19790329,29,0,-12
135165,19790330,30,0,-60
135165,19790331,32,0,-10
135165,19790401,19,0,0
135165,19790402,31,0,25
135165,19790403,32,0,29
135165,19790404,53,0,19
135165,19790405,26,0,27
135165,19790406,39,0,32
135165,19790407,37,0,30
135165,19790408,31,0,45
135165,19790409,22,0,34
135165,19790410,57,0,46
135165,19790411,66,0,39
135165,19790412,78,0,23
135165,19790413,94,0,58
135165,19790414,85,0,35
135165,19790415,60,0,24
135165,19790416,24,0,30
135165,19790417,30,0,23
135165,19790418,39,0,24
135165,19790419,35,0,41
135165,19790420,48,0,18
135165,19790421,65,0,-10
135165,19790422,60,0,5
135165,19790423,44,0,-2
135165,19790424,74,0,48
135165,19790425,72,0,46
135165,19790426,64,0,39
135165,19790427,64,0,81
135165,19790428,58,0,54
135165,19790429,60,0,15
135165,19790430,55,0,71
135165,19790501,49,0,60
135165,19790502,35,0,11
135165,19790503,46,0,23
135165,19790504,61,0,22
135165,19790505,53,0,23
135165,19790506,49,0,52
135165,19790507,49,0,43
135165,19790508,89,0,59
135165,19790509,111,0,60
135165,19790510,83,0,45
135165,19790511,72,0,29
135165,19790512,95,0,38
135165,19790513,112,0,67
135165,19790514,159,0,83
135165,19790515,169,0,55
135165,19790516,188,0,59
135165,19790517,165,0,64
135165,19790518,123,0,26
135165,19790519,139,0,38
135165,19790520,102,0,69
135165,19790521,146,0,52
135165,19790522,131,0,83
135165,19790523,164,0,64
135165,19790524,167,0,90
135165,19790525,115,0,55
135165,19790526,126,0,33
135165,19790527,160,0,46
135165,19790528,133,0,75
135165,19790529,156,0,35
135165,19790530,182,0,51
135165,19790531,199,0,89
135165,19790601,219,0,59
135165,19790602,225,0,83
135165,19790603,193,0,72
135165,19790604,161,0,113
135165,19790605,186,0,103
135165,19790606,183,0,110
135165,19790607,168,0,98
135165,19790608,137,0,61
135165,19790609,131,0,43
135165,19790610,126,0,41
135165,19790611,127,0,88
135165,19790612,144,0,81
135165,19790613,128,0,129
135165,19790614,136,0,130
135165,19790615,140,0,149
135165,19790616,128,0,133
135165,19790617,141,0,85
135165,19790618,161,0,120
135165,19790619,174,0,106
135165,19790620,175,0,123
135165,19790621,181,0,82
135165,19790622,195,0,98
135165,19790623,169,0,147
135165,19790624,191,0,156
135165,19790625,165,0,130
135165,19790626,148,0,130
135165,19790627,159,0,118
135165,19790628,155,0,112
135165,19790629,165,0,119
135165,19790630,139,0,96
135165,19790701,123,0,122
135165,19790702,134,0,130
135165,19790703,147,0,130
135165,19790704,156,0,120
135165,19790705,174,0,102
135165,19790706,165,0,103
135165,19790707,159,0,102
135165,19790708,150,0,144
135165,19790709,135,0,130
135165,19790710,146,0,120
135165,19790711,157,0,155
135165,19790712,175,0,168
135165,19790713,165,0,122
135165,19790714,162,0,140
135165,19790715,144,0,146
135165,19790716,137,0,135
