STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:FR069029001,BRON LYON AEROPORT FR,19650101,-9999,8.9,5.2
GHCND:FR069029001,BRON LYON AEROPORT FR,19650102,-9999,4.9,1.0
GHCND:FR069029001,BRON LYON AEROPORT FR,19650103,-9999,2.8,0.6
GHCND:FR069029001,BRON LYON AEROPORT FR,19650104,-9999,2.8,-0.1
GHCND:FR069029001,BRON LYON AEROPORT FR,19650105,-9999,0.1,-3.6
GHCND:FR069029001,BRON LYON AEROPORT FR,19650106,-9999,1.7,-4.9
GHCND:FR069029001,BRON LYON AEROPORT FR,19650107,-9999,4.3,0.8
GHCND:FR069029001,BRON LYON AEROPORT FR,19650108,-9999,4.4,0.7
GHCND:FR069029001,BRON LYON AEROPORT FR,19650109,-9999,7.9,2.3
GHCND:FR069029001,BRON LYON AEROPORT FR,19650110,-9999,9.6,2.3
GHCND:FR069029001,BRON LYON AEROPORT FR,19650111,-9999,9.3,-2.9
GHCND:FR069029001,BRON LYON AEROPORT FR,19650112,-9999,8.8,0.0
GHCND:FR069029001,BRON LYON AEROPORT FR,19650113,-9999,7.7,2.8
GHCND:FR069029001,BRON LYON AEROPORT FR,19650114,-9999,6.6,-1.3
GHCND:FR069029001,BRON LYON AEROPORT FR,19650115,-9999,6.9,-2.7
GHCND:FR069029001,BRON LYON AEROPORT FR,19650116,-9999,6.8,0.1
GHCND:FR069029001,BRON LYON AEROPORT FR,19650117,-9999,10.0,3.0
GHCND:FR069029001,BRON LYON AEROPORT FR,19650118,-9999,7.7,2.2
GHCND:FR069029001,BRON LYON AEROPORT FR,19650119,-9999,3.2,0.2
GHCND:FR069029001,BRON LYON AEROPORT FR,19650120,-9999,4.1,-4.1
GHCND:FR069029001,BRON LYON AEROPORT FR,19650121,-9999,4.2,2.4
GHCND:FR069029001,BRON LYON AEROPORT FR,19650122,-9999,8.0,0.1
GHCND:FR069029001,BRON LYON AEROPORT FR,19650123,-9999,6.8,3.4
GHCND:FR069029001,BRON LYON AEROPORT FR,19650124,-9999,2.1,-1.0
GHCND:FR069029001,BRON LYON AEROPORT FR,19650125,-9999,2.7,-0.3
GHCND:FR069029001,BRON LYON AEROPORT FR,19650126,-9999,5.3,1.1
GHCND:FR069029001,BRON LYON AEROPORT FR,19650127,-9999,3.1,0.1
GHCND:FR069029001,BRON LYON AEROPORT FR,19650128,-9999,4.1,1.0
GHCND:FR069029001,BRON LYON AEROPORT FR,19650129,-9999,13.1,0.8
GHCND:FR069029001,BRON LYON AEROPORT FR,19650130,-9999,16.2,11.4
GHCND:FR069029001,BRON LYON AEROPORT FR,19650131,-9999,15.6,9.4
GHCND:FR069029001,BRON LYON AEROPORT FR,19650201,-9999,10.3,4.9
