Station,false.springs,region
"Anthony, KS",1986,n.america
"Anthony, KS",1990,n.america
"Anthony, KS",1994,n.america
"Anthony, KS",1995,n.america
"Anthony, KS",1996,n.america
"Anthony, KS",1997,n.america
"Anthony, KS",2002,n.america
"Anthony, KS",2003,n.america
"Anthony, KS",2006,n.america
"Anthony, KS",2007,n.america
"Anthony, KS",2009,n.america
"Anthony, KS",2013,n.america
"Anthony, KS",2014,n.america
"Hastings, NE",1986,n.america
"Hastings, NE",1999,n.america
"Hastings, NE",2000,n.america
"Hastings, NE",2002,n.america
"Hastings, NE",2005,n.america
"Hastings, NE",2006,n.america
"Hastings, NE",2009,n.america
"West Point, NE",1989,n.america
"West Point, NE",1997,n.america
"West Point, NE",2005,n.america
"West Point, NE",2006,n.america
"West Point, NE",2014,n.america
"Yankton, SD",1990,n.america
"Yankton, SD",2002,n.america
"Yankton, SD",2004,n.america
"Yankton, SD",2005,n.america
"Yankton, SD",2014,n.america
"Brookings, SD",N/A,n.america
"Aberdeen, SD",1988,n.america
"Aberdeen, SD",2016,n.america
"Grand Forks, ND",N/A,n.america
Pembina,1993,n.america
"Kempten, GM",1990,europe
"Kempten, GM",1997,europe
"Kempten, GM",1998,europe
"Kempten, GM",2002,europe
"Kempten, GM",2007,europe
"Kempten, GM",2011,europe
"Kempten, GM",2014,europe
"Kempten, GM",2016,europe
"Augsburg, GM",1991,europe
"Augsburg, GM",1997,europe
"Augsburg, GM",2002,europe
"Augsburg, GM",2007,europe
"Augsburg, GM",2010,europe
"Augsburg, GM",2011,europe
"Augsburg, GM",2014,europe
"Augsburg, GM",2016,europe
"Bamberg, GM",1997,europe
"Bamberg, GM",1998,europe
"Bamberg, GM",2002,europe
"Bamberg, GM",2007,europe
"Bamberg, GM",2011,europe
"Bamberg, GM",2014,europe
"Bamberg, GM",2016,europe
"Jena, GM",1990,europe
"Jena, GM",1991,europe
"Jena, GM",1997,europe
"Jena, GM",2002,europe
"Hannover, GM",1990,europe
"Hannover, GM",1991,europe
"Hannover, GM",1997,europe
"Hannover, GM",2007,europe
"Hannover, GM",2014,europe
"Hannover, GM",2016,europe
"Bremen, GM",1990,europe
"Bremen, GM",1991,europe
"Bremen, GM",2005,europe
"Bremen, GM",2014,europe
"Bremen, GM",2016,europe
"Hamburg, GM",1990,europe
"Hamburg, GM",1991,europe
"Hamburg, GM",2011,europe
"Hamburg, GM",2016,europe
"Schleswig, GM",N/A,europe
"Flyvestation, DA",N/A,europe
"Oslo, NO",N/A,europe
