Station,Elevation,Latitude,Longitude,False Springs,new,fifty,,,hf.gdd,
"Anthony, KS",414.5,37.155,-98.0282,13,6,9,0,1,0,-1
"Hastings, NE",586.7,40.58333,-98.35,7,14,5,,1,0,-1
"West Point, NE",399.3,41.845,-96.7141,5,6,7,5,1,0,
"Yankton, SD",359.7,42.88333,-97.35,5,10,11,,,16,
"Brookings, SD",497.4,44.3252,-96.7686,0,8,18,9,6,0,-2
"Aberdeen, SD",395.3,45.4433,-98.413,2,17,21,16,3,0,
"Grand Forks, ND",253,47.9333,-97.08333,0,7,9,,,5,
Pembina,240.8,48.9711,-97.2416,1,11,16,,3,1,-3
