STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860224,-18.6,-16.2,-20.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860225,-17.3,-16.3,-20.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860226,-16.0,2.6,-24.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860227,2.4,8.1,-2.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860228,7.2,13.2,1.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860301,-4.7,7.4,-16.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860302,-12.0,-9.4,-17.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860303,-19.7,-17.5,-23.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860304,-16.6,-6.4,-24.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860305,-18.3,-17.6,-25.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860306,-22.8,-15.0,-28.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860307,-24.3,-19.8,-30.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860308,-17.7,-12.2,-20.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860309,-14.4,-12.8,-22.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860310,-20.8,-14.9,-26.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860311,-16.0,-14.1,-19.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860312,-16.5,-9.5,-20.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860313,-9.7,-7.5,-10.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860314,-10.9,-9.1,-17.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860315,-17.7,-11.9,-23.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860316,-14.1,-9.9,-18.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860317,-15.9,-10.9,-24.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860318,-23.3,-16.5,-31.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860319,-16.8,-9.7,-23.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860320,-17.6,-14.2,-23.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860321,-14.9,-14.0,-16.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860322,-17.9,-16.1,-20.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860323,-20.3,-14.3,-27.1,-9999
