Station,Latitude,Longitude,hf.gdd
"Medford, OR",42.3811,-122.8722,8
"Dallesport, WA",45.6194,-121.1661,2
Yakima,46.5683,-120.5428,3
Wenatchee Panghorn ,47.3977,-120.2013,1
"Spokane, WA",47.6216,-117.528,0
"Blue River, Canada",52.133,-119.2833,0
"Hay River, Canada",60.833,-115.7833,0
