STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730318,6.5,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730319,4.3,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730320,6.4,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730321,6.9,-9999,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730322,6.4,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730323,7.3,-9999,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730324,7.9,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730325,8.3,-9999,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730326,7.1,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730327,5.2,-9999,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730328,5.1,7,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730329,6.3,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730330,6.1,12,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730331,6,-9999,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730401,4.4,6,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730402,4.4,7,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730403,4.6,8,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730404,3,7,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730405,5.8,-9999,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730406,3.6,-9999,1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730407,4.3,10,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730408,4.4,9,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730409,3.4,8,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730410,3.1,6,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730411,1.9,7,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730412,2.9,7,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730413,4.6,10,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730414,5.4,8,1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730415,6.7,12,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730416,7.1,-9999,3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730417,7.2,-9999,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730418,7.2,12,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730419,5.3,10,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730420,4.6,-9999,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730421,5,-9999,3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730422,9.7,15,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730423,9.7,14,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730424,7.8,11,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730425,5.8,8,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730426,5.4,9,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730427,4.4,9,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730428,4.9,9,-3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730429,5.3,10,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730430,7.2,12,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730501,9.6,14,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730502,8.5,13,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730503,7.9,15,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730504,8.9,15,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730505,10.3,17,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730506,9.7,12,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730507,10.7,14,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730508,8.3,12,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730509,8.9,12,6
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730510,8.6,11,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730511,6.9,10,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730512,8.3,12,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730513,8.2,11,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730514,6.9,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730515,8.2,12,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730516,9.1,16,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730517,9.9,17,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730518,8.4,14,1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730519,8.2,12,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730520,11.9,17,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730521,12.3,16,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730522,13.9,20,11
