STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,TMAX,TMIN
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860101,-9999,-7.2,-15.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860102,-9999,2.6,-9.8
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860103,-9999,4.0,1.8
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860104,-9999,3.7,-5.5
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860105,-9999,-0.5,-4.2
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860106,-9999,2.7,-1.0
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860107,-9999,0.6,-5.2
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860108,-9999,-2.1,-4.2
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860109,-9999,-3.2,-8.2
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860110,-9999,-1.8,-10.4
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860111,-9999,4.3,-1.8
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860112,-9999,3.6,1.2
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860113,-9999,5.1,1.7
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860114,-9999,7.8,1.5
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860115,-9999,3.7,0.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860116,-9999,1.9,-1.4
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860117,-9999,-0.9,-6.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860118,-9999,3.2,-8.8
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860119,-9999,9.2,3.0
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860120,-9999,9.2,1.2
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860121,-9999,4.8,1.8
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860122,-9999,5.3,2.4
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860123,-9999,6.6,2.5
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860124,-9999,5.2,0.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860125,-9999,1.4,-0.2
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860126,-9999,0.1,-3.4
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860127,-9999,-1.2,-3.7
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860128,-9999,0.5,-5.8
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860129,-9999,-0.3,-4.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860130,-9999,3.3,-5.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860131,-9999,1.0,-2.6
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860201,-9999,4.2,-0.9
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860202,-9999,2.5,-1.7
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860203,-9999,-1.7,-4.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860204,-9999,-3.1,-7.3
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860205,-9999,-5.8,-11.0
GHCND:GME00102340,ERFURT BINDERSLEBEN GM,316,50.9844,10.9631,19860206,-9999,-6.3,-10.7
