"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"57","13","-2.7","-11.8","0.4","5.0","9.2","18.1","14.5","13.2","12.2","2.4","-0.5","-7.1"
"58","14","-4.3","-13.4","0.7","4.5","9.9","19.2","14.7","13.3","12.1","7.7","-0.1","-5.9"
"59","15","-8.2","-4.1","3.8","4.7","8.7","17.5","15.8","13.1","11.4","10.1","-0.6","2.4"
"60","16","-4.2","-4.4","3.2","7.6","7.5","18.8","16.5","13.8","10.1","5.1","-0.5","-0.5"
"61","17","-8.8","-5.3","-3.5","6.7","6.7","16.7","17.0","12.7","10.5","-2.8","-1.1","-6.7"
"62","18","-0.5","-4.8","-1.7","1.1","7.1","16.6","17.6","13.1","11.6","0.7","3.6","-14.3"
"63","19","1.2","-1.4","-3.4","0.6","5.2","15.3","16.0","11.5","11.3","1.9","-1.2","-13.5"
"64","20","-5.5","0.6","0.6","0.3","5.8","14.7","17.5","11.9","11.9","1.3","-0.6","-9.2"
"65","21","-9.6","0.9","5.7","-0.7","7.6","14.5","15.3","12.8","10.8","5.1","1.1","-7.2"
"66","22","-12.3","0.1","2.9","0.1","7.5","8.5","14.6","14.9","10.8","5.8","6.2","-4.6"
"67","23","-12.1","-2.4","-1.6","0.6","12.6","10.5","15.0","16.5","10.4","2.2","0.4","-6.2"
"68","24","-16.1","0.1","-2.9","3.7","8.2","11.7","15.6","16.5","6.5","5.9","1.4","-7.9"
"69","25","-21.1","-7.7","-5.5","3.3","10.2","11.8","15.8","16.5","4.6","2.0","1.9","-9.4"
"70","26","-18.7","-4.1","2.5","7.1","11.3","11.8","14.2","15.0","9.5","9.2","-0.2","-14.2"
"71","27","-18.5","-0.2","1.4","7.8","10.1","14.1","17.1","16.4","8.2","7.1","0.0","-16.8"
"72","28","-15.9","0.9","1.3","8.9","11.7","13.4","15.9","14.3","7.9","6.0","-0.7","-3.8"
"73","29","-14.6","-","1.6","7.0","13.5","14.1","13.8","13.4","6.9","5.0","-0.2","-5.3"
"74","30","-17.2","-","0.2","1.1","17.1","13.6","11.5","12.2","9.3","0.3","-0.8","-15.4"
"75","31","-12.1","-","0.4","-","16.3","-","15.6","11.4","-","1.9","-","-8.9"
"76","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"77","Minimum","-21.1","-13.8","-5.5","-2.7","-0.2","7.3","10.3","11.4","4.6","-2.8","-1.2","-16.8"
"78","Date","7","2","25","2","2","7","4","31","25","17","19","27"
"79","Maximum","1.2","2.1","5.7","8.9","17.1","19.2","17.8","19.0","12.6","11.1","6.4","6.2"
"80","Date","19","6","21","28","30","14","9","2","6","2","4","2"
"81","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"82","Mean","-10.8","-5.2","0.7","3.0","7.7","13.3","15.0","14.4","10.3","5.4","1.6","-6.5"
