"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"1818","11","1.7","-1.1","3.8","3.4","13.4","10.7","15.4","14.6","10.5","11.3","2.6","-4.0"
"1819","12","-1.7","-1.4","3.3","0.8","8.9","11.7","15.1","14.9","9.6","7.8","-1.1","-4.2"
"1820","13","-5.0","-3.5","2.2","2.5","9.0","9.3","13.4","13.3","8.6","8.5","-2.6","-5.4"
"1821","14","1.5","-3.3","1.4","4.4","9.7","11.4","16.1","14.1","7.0","7.8","0.5","-1.7"
"1822","15","3.2","-4.2","-1.3","1.3","8.0","8.9","16.7","12.8","7.7","2.6","5.4","-0.3"
"1823","16","2.7","-7.3","0.0","4.2","6.6","9.4","14.0","14.6","6.3","4.5","3.1","0.5"
"1824","17","0.5","2.8","-0.2","4.7","2.5","12.8","13.8","13.9","6.5","4.6","-1.8","1.3"
"1825","18","-0.5","-0.4","-0.8","5.1","4.0","13.0","14.3","13.4","6.9","2.5","2.7","4.1"
"1826","19","1.9","0.9","0.0","6.3","5.4","12.1","13.6","13.7","8.6","4.8","-1.0","-0.2"
"1827","20","-0.1","0.3","-4.0","6.4","6.8","13.6","14.5","14.8","9.1","10.0","-0.9","0.5"
"1828","21","-1.3","2.1","-3.3","7.9","8.3","13.6","15.7","15.1","9.5","8.6","-2.9","-0.6"
"1829","22","-3.3","3.3","-8.6","8.4","7.5","11.3","17.2","13.5","9.7","4.6","-0.6","2.4"
"1830","23","-6.1","3.8","-9.2","8.0","9.8","13.3","20.4","13.7","11.2","5.0","-2.5","-2.5"
"1831","24","2.1","5.6","-7.6","7.5","7.1","12.7","21.9","13.5","9.6","9.4","-0.9","-2.8"
"1832","25","3.1","3.2","-3.8","6.8","11.5","12.3","22.2","13.1","7.7","7.7","0.1","-6.8"
"1833","26","1.1","2.5","-3.1","8.0","11.7","12.3","23.6","14.5","11.5","8.1","0.6","-6.5"
"1834","27","-0.5","3.3","-4.0","8.9","12.9","11.0","23.1","12.7","11.3","3.7","6.2","-7.1"
"1835","28","0.4","2.3","-1.9","12.0","15.3","12.8","23.2","13.7","8.2","-0.4","-0.4","-4.7"
"1836","29","3.0","1.6","1.1","14.1","15.1","14.5","19.9","12.7","6.0","-1.6","-0.1","-7.2"
"1837","30","-1.7","-","3.5","12.1","17.8","15.1","18.3","13.4","5.2","0.4","-0.6","-11.0"
"1838","31","-2.0","-","4.5","-","20.5","-","19.1","11.3","-","0.9","-","-13.6"
"1839","Number of","31","29","31","30","31","30","31","31","30","31","30","31"
"1840","Minimum","-6.1","-7.3","-9.2","0.8","2.5","8.9","9.6","10.8","5.2","-1.6","-4.6","-13.6"
"1841","Date","23","16","23","12","17","15","7","10","30","29","1","31"
"1842","Maximum","3.2","5.6","4.5","14.1","20.5","22.3","23.6","20.3","15.0","11.3","6.2","4.1"
"1843","Date","15","24","31","29","31","6","26","1","2","11","27","18"
"1844","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"1845","Mean","-0.5","0.1","-0.9","5.3","10.8","14.6","17.3","13.9","9.4","5.7","0.4","-3.4"
"1846","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"1847","Deviation","6.7","7.2","1.4","2.5","1.4","0.5","2.1","-0.0","0.1","1.0","1.9","2.3"
"1848","%","-","-","-","-","-","-","-","-","-","-","-","-"
"1849","4780 GARDERMOEN, TAM 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1850","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1851","1","-10.3","-9.8","-3.5","2.9","12.2","19.0","23.0","15.2","17.1","4.4","0.6","-5.1"
"1852","2","-8.7","-11.0","-1.1","4.6","9.5","12.4","23.4","15.3","12.8","2.9","0.6","-6.9"
"1853","3","-6.8","-11.5","0.8","1.8","10.0","9.5","23.1","13.5","11.5","2.2","2.6","-6.7"
"1854","4","-12.7","-8.7","1.9","0.0","9.1","6.5","21.2","15.3","12.0","4.9","0.5","-1.2"
"1855","5","-13.5","-4.6","0.4","4.3","9.3","10.3","13.6","16.5","12.4","4.6","-0.8","0.4"
"1856","6","-6.5","-5.9","1.0","7.1","8.3","9.7","12.4","17.5","12.3","0.9","-0.4","1.3"
"1857","7","-7.6","-6.8","-1.1","3.4","6.9","9.6","14.2","19.0","10.7","7.4","3.8","0.3"
"1858","8","-3.1","-8.1","-0.3","2.6","6.9","10.3","14.1","18.6","12.7","2.7","4.0","2.1"
"1859","9","-1.2","-10.8","0.7","3.8","9.0","11.3","13.4","16.8","17.2","3.2","2.5","1.2"
"1860","10","-4.7","-11.9","-0.2","5.5","8.6","10.7","14.1","14.8","12.3","0.7","-0.5","0.5"
"1861","11","3.6","-13.8","-0.1","6.1","8.0","11.5","12.6","16.8","12.4","2.6","-0.9","0.9"
"1862","12","5.4","-16.2","-2.5","5.5","9.6","11.8","14.9","14.8","11.0","3.5","-1.2","1.6"
"1863","13","2.7","-11.4","-0.8","5.0","10.4","14.0","15.4","12.6","13.5","2.6","-1.9","-2.9"
"1864","14","-0.7","-11.8","-0.9","4.6","8.8","12.7","16.1","13.2","12.3","-0.8","0.0","-3.1"
"1865","15","-7.0","-10.3","0.6","7.0","10.6","12.2","16.2","9.8","9.5","0.0","6.8","-3.4"
"1866","16","-9.4","-7.2","1.0","6.7","10.5","10.8","17.6","15.7","9.3","5.0","4.0","-5.3"
"1867","17","-4.2","-8.2","2.7","6.8","11.2","12.8","18.0","14.4","9.0","5.5","5.3","-10.4"
"1868","18","-3.8","-7.1","2.1","4.0","7.2","9.9","18.0","14.2","12.8","0.8","4.4","-14.7"
"1869","19","-1.8","-6.1","0.3","6.0","11.0","10.3","14.9","13.1","12.4","0.1","-0.5","-14.4"
"1870","20","-0.1","-5.7","-1.1","6.3","11.4","12.2","15.2","16.6","11.0","0.0","8.3","-9.6"
"1871","21","1.7","-3.2","1.5","7.3","11.4","14.8","13.6","16.9","8.8","4.1","4.3","-11.7"
"1872","22","-0.2","-1.7","1.3","8.2","8.8","15.4","13.8","14.9","13.8","4.6","2.8","-10.5"
"1873","23","-1.4","-1.8","1.2","9.3","13.2","17.3","15.0","12.9","10.3","4.0","5.6","-8.0"
"1874","24","-0.8","-2.5","-3.6","9.5","13.5","19.2","16.9","14.1","10.3","2.1","2.5","-2.1"
"1875","25","0.1","-1.8","-5.1","8.8","15.0","20.9","15.4","14.8","12.8","4.4","2.3","-1.8"
"1876","26","-1.1","-4.0","-3.9","10.3","11.4","21.0","15.4","15.6","14.1","5.0","5.9","-7.1"
"1877","27","-3.6","-2.7","-3.3","11.7","11.8","21.0","14.0","12.7","11.4","2.3","3.7","-10.2"
"1878","28","-6.4","-8.7","-1.3","9.6","11.7","23.8","16.1","14.6","9.1","0.2","2.1","-11.9"
"1879","29","-7.4","-","-2.6","9.8","13.7","24.2","13.8","12.4","4.7","-0.7","-0.6","-14.9"
"1880","30","-7.2","-","1.0","12.5","17.4","23.0","13.7","11.8","3.5","-2.6","0.0","-14.8"
"1881","31","-7.8","-","3.2","-","19.4","-","13.6","11.3","-","-1.6","-","-15.2"
"1882","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"1883","Minimum","-13.5","-16.2","-5.1","0.0","6.9","6.5","12.4","9.8","3.5","-2.6","-1.9","-15.2"
"1884","Date","5","12","25","4","7","4","6","15","30","30","13","31"
"1885","Maximum","5.4","-1.7","3.2","12.5","19.4","24.2","23.4","19.0","17.2","7.4","8.3","2.1"
"1886","Date","12","22","31","30","31","29","2","7","9","7","20","8"
"1887","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"1888","Mean","-4.0","-7.6","-0.4","6.4","10.8","14.3","15.9","14.7","11.4","2.4","2.2","-5.9"
"1889","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"1890","Deviation","3.2","-0.5","1.9","3.6","1.4","0.2","0.7","0.8","2.1","-2.3","3.7","-0.2"
"1891","%","-","-","-","-","-","-","-","-","-","-","-","-"
"1892","4780 GARDERMOEN, TAM 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1894","1","-10.1","-18.1","-5.5","2.0","5.2","15.5","17.5","14.9","9.9","4.6","1.3","-13.2"
"1895","2","-13.0","-14.6","-5.4","1.6","5.2","15.6","17.5","16.3","10.2","6.6","4.4","-13.8"
"1896","3","-16.9","-6.3","-4.3","1.6","3.9","15.7","19.2","15.6","9.2","7.9","6.0","-13.5"
"1897","4","-14.8","-5.2","-6.1","2.9","1.2","13.9","18.6","14.9","9.5","9.2","4.0","-16.9"
"1898","5","-15.8","-4.4","-11.5","2.1","5.1","14.1","17.6","15.0","10.9","10.2","-0.1","-10.9"
"1899","6","-19.8","-4.2","-13.0","0.7","5.2","15.7","17.0","15.3","12.6","9.0","-0.1","-12.5"
"1900","7","-16.7","-10.9","-8.6","3.7","8.0","13.6","16.4","15.7","12.0","10.9","-3.2","-17.3"
"1901","8","-21.3","-11.5","-7.2","3.2","8.1","12.8","16.0","18.2","11.6","6.7","-6.1","-19.5"
"1902","9","-18.9","-8.5","-3.8","4.7","7.0","13.1","17.9","18.6","12.3","5.2","-4.3","-13.1"
"1903","10","-15.2","-13.0","-0.3","4.8","4.0","16.0","19.6","16.7","10.7","5.1","-2.7","-12.0"
"1904","11","-11.9","-12.1","0.2","5.0","4.0","12.0","17.3","14.5","12.4","1.6","-8.0","-6.4"
"1905","12","-10.5","-10.1","0.4","5.3","5.9","11.3","18.7","16.1","15.0","2.9","-0.3","-7.5"
"1906","13","-12.3","-11.1","-2.8","6.8","6.4","11.1","16.7","17.1","12.7","3.6","0.2","-9.8"
"1907","14","-10.0","-4.3","-3.0","6.0","9.4","10.9","17.0","18.9","12.6","4.3","-0.3","-11.9"
"1908","15","-8.9","-8.6","-2.4","6.0","11.0","12.0","17.4","18.5","8.9","2.2","-2.0","-9.3"
"1909","16","-5.9","-6.4","-0.8","5.0","11.0","14.5","17.6","16.6","8.2","1.7","-6.9","-3.8"
"1910","17","-3.9","-4.6","-1.6","7.3","11.0","14.0","17.1","14.9","9.0","2.2","-6.2","-11.2"
"1911","18","-4.4","-7.1","1.2","3.2","12.3","10.6","17.0","15.1","9.0","6.5","-6.3","-5.4"
"1912","19","-5.1","-11.0","2.1","2.7","16.2","10.5","15.1","12.7","9.8","5.8","-7.3","-9.8"
"1913","20","-5.5","-12.5","3.1","0.7","16.2","11.6","15.6","15.2","6.8","1.1","-5.0","-12.0"
"1914","21","-4.5","-15.9","-0.5","2.2","16.5","13.8","18.0","17.2","9.5","-3.4","-2.2","-17.6"
"1915","22","-5.7","-17.1","-3.5","2.9","15.0","14.7","18.0","14.7","7.3","-1.2","-4.4","-18.7"
"1916","23","-5.7","-14.7","0.7","1.8","12.7","15.8","13.0","13.9","12.7","-3.4","-5.8","-15.6"
"1917","24","-7.0","-18.7","-0.3","5.2","9.2","12.8","15.8","12.7","7.9","-0.1","-6.4","-15.7"
"1918","25","-10.1","-12.5","1.1","5.8","9.1","15.3","12.7","12.6","6.7","0.7","-8.4","-15.9"
"1919","26","-11.7","-5.8","0.9","6.0","9.2","16.5","13.3","11.5","6.8","0.1","-10.5","-8.1"
"1920","27","-6.4","-3.2","2.2","6.1","9.4","15.6","16.3","11.1","6.0","3.6","-10.6","-7.4"
"1921","28","-4.5","-4.3","1.2","2.3","8.9","15.8","16.6","9.8","4.8","6.2","-9.4","x"
"1922","29","-9.4","-","1.6","10.4","9.1","17.5","15.0","9.8","4.8","4.0","-11.2","-16.5"
"1923","30","-12.7","-","-1.5","8.5","10.5","14.4","17.1","10.7","5.0","7.7","-14.1","-15.5"
"1924","31","-14.8","-","1.6","-","15.0","-","17.0","10.8","-","7.0","-","-8.8"
"1925","Number of","31","28","31","30","31","30","31","31","30","31","30","x"
"1926","Minimum","-21.3","-18.7","-13.0","0.7","1.2","10.5","12.7","9.8","4.8","-3.4","-14.1","x"
"1927","Date","8","24","6","6","4","19","25","28","28","21","30","x"
"1928","Maximum","-3.9","-3.2","3.1","10.4","16.5","17.5","19.6","18.9","15.0","10.9","6.0","x"
"1929","Date","17","27","20","29","21","29","10","14","12","7","3","x"
"1930","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"1931","Mean","-10.8","-9.9","-2.1","4.2","9.1","13.9","16.8","14.7","9.5","4.1","-4.2","x"
"1932","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"1933","Deviation","-3.6","-2.8","0.2","1.4","-0.3","-0.2","1.6","0.8","0.2","-0.6","-2.7","x"
"1934","%","-","-","-","-","-","-","-","-","-","-","-","-"
"1935","4780 GARDERMOEN, TAM 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1937","1","-0.1","-0.2","-3.7","2.0","6.2","13.2","15.2","19.2","12.2","11.2","9.3","4.6"
"1938","2","-3.3","-1.2","-4.3","2.8","5.5","15.2","14.7","19.3","12.5","12.1","9.6","-0.5"
"1939","3","-5.9","0.3","-2.7","3.8","3.6","18.7","18.1","19.6","11.9","10.1","7.8","1.7"
"1940","4","-6.6","0.0","-2.3","3.4","5.4","18.1","18.4","18.7","14.6","10.2","6.1","1.2"
"1941","5","-5.1","-4.0","-0.7","x","7.7","14.8","17.4","15.6","15.7","9.8","7.2","0.4"
"1942","6","-4.6","x","x","6.2","7.5","15.4","18.6","17.4","11.8","10.9","6.1","-2.4"
"1943","7","-9.1","-5.0","-0.8","7.6","11.9","16.9","17.9","12.8","11.2","8.8","3.1","-4.0"
"1944","8","-9.4","-1.1","-0.7","7.3","13.2","17.6","17.9","13.8","10.1","6.6","3.2","-9.4"
"1945","9","-1.6","x","-0.1","8.3","13.7","17.1","16.0","13.8","11.3","1.9","1.6","0.0"
"1946","10","0.4","-4.2","-3.1","10.2","15.6","15.0","15.1","10.1","11.4","5.3","3.0","-5.2"
"1947","11","-0.3","-7.6","-4.1","10.6","14.0","13.2","16.2","x","14.2","6.0","3.5","-8.9"
"1948","12","x","-16.2","-1.9","2.9","13.1","14.5","15.1","13.5","12.8","6.6","0.6","0.4"
"1949","13","-10.1","-19.9","-1.3","5.6","11.5","14.0","13.4","12.9","13.2","4.0","0.8","0.8"
"1950","14","-9.3","-12.2","-0.1","5.1","8.7","13.0","15.8","13.1","13.3","0.7","-2.2","1.8"
"1951","15","-8.8","-10.3","-4.4","6.8","7.7","x","13.0","15.4","11.4","3.0","-1.1","1.8"
"1952","16","-1.1","-8.2","-6.3","10.4","8.9","14.8","15.9","14.7","8.6","5.7","-5.3","0.2"
"1953","17","1.4","-6.3","-6.3","9.7","9.5","11.2","14.0","13.9","7.3","7.8","-4.0","-2.4"
"1954","18","-3.8","-9.4","-3.4","12.5","8.0","12.6","14.6","14.6","8.6","6.4","-3.0","-3.8"
"1955","19","-8.5","-11.0","-3.9","10.8","x","12.7","15.5","12.1","10.7","3.3","1.6","-0.3"
"1956","20","-7.6","-19.0","-3.4","10.6","x","13.6","16.3","14.2","10.9","2.4","2.5","-6.9"
"1957","21","-10.6","-13.4","4.4","10.8","x","14.0","17.1","11.4","11.4","0.2","0.5","-8.3"
"1958","22","-7.8","-11.0","6.9","13.4","10.5","14.2","14.9","15.8","9.4","9.4","-0.3","-5.6"
"1959","23","x","-12.1","5.3","12.1","10.3","13.8","18.4","15.1","10.0","6.2","2.5","0.7"
"1960","24","-4.9","-13.3","4.6","11.8","10.8","12.7","15.5","13.1","8.6","4.5","4.3","-1.6"
"1961","25","-5.2","-2.4","-1.8","11.9","11.3","13.5","13.7","15.7","11.7","3.0","5.9","3.3"
"1962","26","-16.0","-1.2","-3.0","10.9","9.6","15.1","16.6","17.1","11.3","5.5","3.2","6.0"
"1963","27","-15.1","-3.5","-1.2","9.9","8.6","13.7","18.5","17.7","9.7","7.8","6.5","4.0"
"1964","28","-14.7","-3.6","0.9","9.8","9.9","18.7","20.3","12.9","11.8","7.3","2.1","2.5"
"1965","29","-4.9","-","0.9","11.8","9.7","19.1","20.2","11.4","15.3","3.4","6.2","1.9"
"1966","30","-6.5","-","-1.2","11.4","11.7","17.9","21.0","12.8","16.1","9.2","5.0","-0.3"
"1967","31","-3.4","-","-2.9","-","11.6","-","18.9","12.4","-","6.5","-","-7.3"
"1968","Number of","x","x","x","x","x","x","31","x","30","31","30","31"
"1969","Minimum","x","x","x","x","x","x","13.0","x","7.3","0.2","-5.3","-9.4"
"1970","Date","x","x","x","x","x","x","15","x","17","21","16","8"
"1971","Maximum","x","x","x","x","x","x","21.0","x","16.1","12.1","9.6","6.0"
"1972","Date","x","x","x","x","x","x","30","x","30","2","2","26"
"1973","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"1974","Mean","x","x","x","x","x","x","16.6","x","11.6","6.3","2.9","-1.1"
"1975","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"1976","Deviation","x","x","x","x","x","x","1.4","x","2.3","1.6","4.4","4.6"
"1977","%","-","-","-","-","-","-","-","-","-","-","-","-"
"1978","4780 GARDERMOEN, TAM 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1980","1","-1.4","-11.0","5.3","1.4","9.7","7.9","13.3","14.6","12.8","11.4","4.0","-7.8"
"1981","2","0.6","-11.5","1.7","x","x","8.0","x","14.5","15.3","10.1","3.6","-12.8"
"1982","3","0.3","-16.8","-2.1","x","8.7","7.8","x","16.7","14.8","9.1","3.7","-16.2"
"1983","4","0.5","-17.8","-3.0","x","4.5","9.7","x","15.5","15.0","7.4","2.8","-14.3"
"1984","5","-6.0","-8.7","x","2.0","3.6","9.5","x","15.5","13.2","3.1","1.2","-10.0"
"1985","6","-4.0","-4.2","-2.7","x","x","11.0","x","14.3","8.6","4.5","-2.7","-10.6"
"1986","7","-5.0","-5.3","-1.3","-0.6","5.4","11.7","x","13.8","10.8","6.8","-2.5","-8.2"
"1987","8","-6.2","-6.7","-1.1","x","6.8","13.8","x","13.5","10.8","7.1","-0.9","-9.5"
"1988","9","-10.5","x","2.0","0.4","9.2","11.5","x","13.1","9.8","5.2","-0.9","-8.2"
"1989","10","-7.0","-7.6","4.3","3.5","8.1","13.1","15.1","14.4","13.9","3.7","5.3","-7.1"
"1990","11","-0.7","-11.3","5.0","3.8","7.3","13.4","13.9","15.9","13.2","2.5","4.9","-12.1"
"1991","12","0.1","-7.1","9.4","4.3","7.4","12.5","12.8","16.6","7.6","2.6","1.0","-11.9"
"1992","13","0.1","-9.0","9.0","4.6","6.7","12.1","13.0","16.1","7.7","3.1","-0.3","-9.2"
"1993","14","-1.2","-4.6","3.9","4.9","8.2","10.4","15.3","16.5","12.2","2.3","7.7","-7.7"
"1994","15","-3.7","-0.2","2.4","1.9","8.6","10.5","14.0","16.3","11.8","4.0","4.5","-3.4"
"1995","16","-5.6","-2.3","3.1","1.6","8.8","10.9","14.1","16.2","11.3","3.6","3.4","0.1"
"1996","17","-7.0","-5.1","3.4","1.3","8.6","13.1","15.1","16.2","11.5","7.1","3.4","-0.1"
"1997","18","x","0.0","x","1.1","8.6","12.7","13.4","15.5","9.2","8.8","2.8","-1.8"
"1998","19","-7.8","-0.6","2.7","6.0","9.2","14.0","13.9","19.9","8.2","7.7","1.6","-5.2"
"1999","20","-9.2","-2.4","6.2","4.2","11.6","14.1","11.8","15.1","5.8","5.6","6.6","-10.0"
"2000","21","-8.4","0.9","9.6","2.2","13.8","15.9","12.9","17.3","5.3","3.9","6.4","-8.2"
"2001","22","-3.5","1.7","8.4","2.7","17.3","16.5","13.3","13.6","6.3","2.6","4.6","-7.4"
"2002","23","-8.3","4.4","7.3","4.1","19.1","12.5","14.9","12.8","7.3","1.1","5.5","-6.1"
"2003","24","-7.6","3.7","7.1","4.9","20.6","12.0","16.9","12.4","7.3","1.7","1.8","-6.2"
"2004","25","-7.2","2.5","8.1","7.0","21.5","13.1","17.9","13.0","5.7","0.2","-0.5","-4.4"
"2005","26","-5.2","-1.7","9.2","6.6","19.1","15.7","15.9","12.2","7.4","0.7","0.0","-1.5"
"2006","27","-2.9","-1.4","x","7.4","18.9","14.1","16.3","10.8","8.1","1.1","0.0","-7.5"
"2007","28","-4.9","1.3","8.1","7.3","13.8","14.1","14.2","11.0","8.4","-3.0","-0.5","-8.4"
"2008","29","-5.6","1.7","7.2","7.7","9.0","12.0","15.1","14.2","8.7","-0.7","-4.2","-1.9"
"2009","30","-5.7","-","4.4","5.5","10.4","15.1","14.9","13.3","8.9","-4.0","-5.2","2.5"
"2010","31","-9.0","-","1.9","-","10.0","-","13.3","13.4","-","-2.0","-","1.5"
"2011","Number of","x","x","x","x","x","30","x","31","30","31","30","31"
"2012","Minimum","x","x","x","x","x","7.8","x","10.8","5.3","-4.0","-5.2","-16.2"
"2013","Date","x","x","x","x","x","3","x","27","21","30","30","3"
"2014","Maximum","x","x","x","x","x","16.5","x","19.9","15.3","11.4","7.7","2.5"
"2015","Date","x","x","x","x","x","22","x","19","2","1","14","30"
"2016","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"2017","Mean","x","x","x","x","x","12.3","x","14.7","9.9","3.8","1.9","-6.9"
"2018","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"2019","Deviation","x","x","x","x","x","-1.8","x","0.8","0.6","-0.9","3.4","-1.2"
"2020","%","-","-","-","-","-","-","-","-","-","-","-","-"
"2021","4780 GARDERMOEN, TAM 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2023","1","0.2","-9.4","1.7","-0.4","4.7","16.1","14.7","16.7","11.4","4.6","5.0","3.0"
"2024","2","-5.3","-9.1","1.9","-0.1","x","15.1","12.7","17.5","12.9","4.4","2.4","-1.4"
"2025","3","-0.8","-7.9","1.0","0.3","4.1","x","13.5","17.5","13.7","6.3","3.8","2.6"
"2026","4","0.9","-3.2","-0.5","1.4","5.0","x","13.7","16.1","15.0","5.5","5.1","-0.5"
"2027","5","-1.4","-7.4","-2.3","1.5","9.0","10.1","16.5","16.5","15.3","8.6","3.0","0.6"
"2028","6","-1.2","-2.0","-1.5","-0.5","10.4","11.0","16.9","16.2","15.3","7.4","0.4","-2.0"
"2029","7","-0.5","-5.2","-5.3","-0.2","13.5","13.2","x","17.8","15.3","12.7","0.4","-5.9"
"2030","8","-2.2","-8.5","-7.5","-1.0","12.1","13.9","16.4","13.9","15.2","13.6","2.2","-7.4"
"2031","9","-4.5","-11.0","-6.2","-1.1","11.2","12.3","17.3","14.7","13.8","11.3","3.0","-4.7"
"2032","10","-3.2","-9.4","-10.7","-1.4","8.6","13.9","15.6","13.8","13.9","5.6","1.8","-0.4"
"2033","11","-6.6","-9.2","-6.9","-1.6","9.4","14.1","16.1","13.7","13.7","4.1","-0.8","-3.0"
"2034","12","-11.7","-6.6","-3.6","1.4","7.6","12.1","18.8","12.6","12.7","5.5","6.0","1.7"
"2035","13","-16.1","-6.0","-8.3","1.6","6.7","12.9","18.2","12.8","12.6","6.9","1.5","-3.3"
"2036","14","-15.1","-4.8","-10.4","1.4","6.5","15.0","16.2","13.2","13.3","4.7","1.1","-0.9"
"2037","15","-12.9","-3.9","-9.5","4.9","7.6","13.3","16.6","13.6","12.9","5.0","2.1","1.5"
"2038","16","-11.9","-1.5","-3.7","4.6","14.8","12.0","16.2","14.9","9.6","4.7","10.2","5.4"
"2039","17","-8.5","-1.0","-3.7","x","15.1","15.3","19.5","16.4","9.2","3.9","4.5","1.4"
"2040","18","-11.6","-2.3","-4.9","x","18.4","15.6","20.1","14.6","9.1","1.8","2.1","-1.0"
"2041","19","-15.1","-4.7","-8.4","4.7","18.7","14.8","18.0","14.1","8.2","-1.3","1.0","3.0"
"2042","20","-5.9","-7.6","-6.7","4.6","15.0","17.4","x","14.3","6.3","-0.7","-4.1","1.6"
"2043","21","-12.0","-12.8","-5.3","3.9","13.7","17.2","21.0","13.8","9.1","1.2","-4.6","3.8"
"2044","22","-16.8","-6.3","-8.5","4.3","12.8","14.6","x","14.4","11.0","3.2","-7.8","4.1"
"2045","23","-16.6","0.2","-7.8","7.8","8.8","13.8","x","14.8","9.6","12.3","-7.6","0.9"
"2046","24","-11.4","-0.5","-4.5","7.1","10.7","13.3","19.5","15.3","6.9","8.7","-3.6","4.7"
"2047","25","-15.5","-4.8","-2.1","7.0","15.6","15.2","20.4","15.2","3.8","5.7","-2.0","3.5"
"2048","26","-6.7","-6.7","-2.8","5.1","17.0","12.6","20.3","14.2","3.0","7.9","-4.2","2.9"
"2049","27","-5.4","-4.8","-3.7","5.1","13.4","13.8","17.9","14.6","6.7","9.9","3.8","2.0"
"2050","28","-0.1","-1.2","-4.3","2.7","14.7","13.7","17.5","15.6","6.1","7.5","4.5","5.0"
"2051","29","0.5","-","-3.4","x","16.5","12.4","18.6","14.4","5.8","5.9","-0.8","2.1"
"2052","30","1.2","-","-2.4","6.8","17.3","14.9","15.3","14.0","5.3","3.5","-2.7","-1.2"
"2053","31","-0.3","-","-2.0","-","17.3","-","14.9","13.5","-","4.0","-","4.0"
"2054","Number of","31","28","31","x","x","x","x","31","30","31","30","31"
"2055","Minimum","-16.8","-12.8","-10.7","x","x","x","x","12.6","3.0","-1.3","-7.8","-7.4"
"2056","Date","22","21","10","x","x","x","x","12","26","19","22","8"
"2057","Maximum","1.2","0.2","1.9","x","x","x","x","17.8","15.3","13.6","10.2","5.4"
"2058","Date","30","23","2","x","x","x","x","7","5","8","16","16"
"2059","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"2060","Mean","-7.0","-5.6","-4.6","x","x","x","x","14.9","10.6","5.9","0.9","0.7"
"2061","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"2062","Deviation","0.2","1.5","-2.3","x","x","x","x","1.0","1.3","1.2","2.4","6.4"
"2063","%","-","-","-","-","-","-","-","-","-","-","-","-"
"2064","4780 GARDERMOEN, TAM 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2065","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2066","1","2.1","-5.3","0.6","2.4","4.3","15.8","13.1","17.6","12.0","7.4","5.9","-1.9"
"2067","2","0.9","0.6","0.3","3.3","5.2","17.0","15.9","17.6","15.0","9.8","10.0","-1.9"
"2068","3","1.9","1.6","0.7","3.4","4.8","16.5","16.3","17.4","15.2","10.6","7.9","-2.9"
"2069","4","3.6","-0.1","0.9","3.1","5.0","13.1","15.5","18.7","15.9","12.3","5.9","-1.9"
"2070","5","2.4","-1.0","1.4","0.6","4.7","14.0","19.5","17.3","14.1","11.1","1.4","-0.2"
"2071","6","1.0","-1.2","3.4","3.6","4.3","15.4","19.3","17.3","14.0","8.7","-2.1","x"
"2072","7","4.8","0.5","4.3","8.0","2.0","14.6","19.2","17.5","15.3","6.4","-1.6","2.6"
"2073","8","4.0","-0.1","4.2","4.1","2.7","17.8","20.0","18.4","13.4","8.5","2.6","-1.5"
"2074","9","0.0","1.4","5.0","1.4","5.0","18.9","23.1","17.4","13.0","9.0","6.9","-5.0"
